,polarity
485,1
622,1
854,1
536,0
728,0
400,0
510,1
247,1
863,1
318,0
329,0
585,1
94,0
420,0
149,0
328,0
153,0
806,0
29,0
168,0
239,0
434,0
489,1
525,1
561,0
720,0
468,0
16,0
267,0
655,1
228,0
672,0
31,0
369,0
204,0
594,0
367,0
582,1
23,0
776,0
758,1
84,0
291,0
53,0
385,0
343,0
851,1
290,0
822,1
798,0
396,0
543,1
578,0
326,0
463,0
333,0
876,0
617,1
861,0
524,0
180,0
268,0
307,0
227,0
640,0
39,0
417,0
652,0
505,0
161,1
572,0
460,0
682,1
696,1
357,1
274,0
297,0
883,1
256,0
261,0
732,0
165,0
160,1
545,0
515,1
150,0
341,0
845,1
254,0
303,0
886,1
642,0
586,1
773,0
224,0
456,1
620,0
580,0
373,0
722,0
754,1
628,1
848,1
770,0
782,0
860,1
402,1
423,0
269,0
653,1
513,1
557,1
207,0
189,1
392,0
864,1
879,1
562,0
306,0
191,0
155,0
25,0
651,1
60,0
336,0
65,0
583,1
459,0
96,0
348,0
137,0
512,0
415,0
173,1
603,1
890,1
208,0
568,0
477,0
48,0
91,0
74,0
838,1
206,0
535,0
233,0
220,0
805,0
613,1
679,1
226,0
292,0
325,0
170,1
44,0
763,1
790,1
858,1
666,1
639,1
593,1
117,0
125,1
847,1
104,0
166,0
164,0
471,0
668,1
721,0
741,1
443,0
439,1
473,0
494,1
115,0
503,0
419,0
533,1
850,1
549,1
409,0
280,0
361,1
249,0
780,0
566,0
519,0
377,0
671,0
777,0
482,1
658,1
661,1
234,0
719,0
89,0
690,1
7,0
656,0
686,1
742,0
266,0
484,1
214,0
411,0
550,1
771,0
445,0
716,0
830,1
24,0
874,1
808,1
856,0
398,0
4,0
710,0
275,0
399,0
706,0
37,0
109,0
611,1
87,0
569,1
759,0
259,0
201,0
491,1
3,0
765,0
82,0
299,0
735,0
619,0
257,0
10,0
401,0
368,1
70,0
359,0
801,0
817,1
829,1
479,1
755,0
818,1
340,0
123,0
83,0
794,1
723,0
748,0
487,1
110,0
77,0
711,0
93,0
75,0
428,0
179,0
255,1
338,0
162,1
113,1
698,1
452,0
670,0
324,0
889,1
544,1
517,0
506,1
360,0
867,1
374,0
167,0
709,0
872,1
738,0
98,0
45,0
488,1
530,0
440,1
744,0
213,0
635,1
30,0
403,0
552,0
129,0
508,1
803,1
319,0
386,0
703,1
294,0
511,1
779,0
55,0
185,1
540,1
458,0
393,0
387,0
676,1
756,1
282,0
571,1
301,0
843,1
534,1
127,0
705,0
9,0
807,1
795,1
236,0
195,1
378,0
774,0
253,0
746,0
298,0
202,0
853,1
138,0
212,0
332,0
193,0
19,0
152,0
581,1
454,1
554,0
250,0
675,1
871,1
464,0
26,0
171,1
72,0
730,0
132,0
778,0
783,0
446,1
209,0
523,0
316,0
334,0
462,1
570,0
630,0
490,0
11,0
772,0
86,0
363,0
111,0
315,0
556,0
90,0
289,0
365,0
802,0
112,0
122,0
528,1
480,1
824,1
232,1
241,0
190,0
579,1
529,0
713,0
821,1
743,1
727,0
451,1
687,1
835,1
839,1
116,0
17,0
205,0
114,0
242,0
148,0
447,0
823,1
548,1
296,0
694,1
873,1
724,0
616,1
820,1
590,0
660,0
273,0
574,0
5,0
203,0
68,0
126,0
761,1
362,0
629,0
753,1
866,1
54,0
251,0
781,0
884,1
834,1
478,0
527,1
441,1
271,0
106,0
804,0
692,1
380,0
272,0
407,0
502,1
310,0
497,0
184,1
882,0
592,1
810,1
521,0
842,1
322,0
218,0
59,0
41,0
211,0
159,0
317,0
156,0
589,1
22,0
172,1
231,0
397,0
38,0
667,0
130,0
347,0
342,1
119,0
105,1
177,0
413,0
470,0
157,0
849,1
279,0
740,0
846,1
391,0
501,1
262,1
66,0
457,0
623,1
197,0
121,0
238,0
647,0
320,0
844,1
577,1
553,1
538,0
699,0
677,1
752,1
610,1
57,0
379,0
837,1
684,1
18,0
408,0
495,1
35,0
526,0
551,1
532,0
442,0
277,0
498,0
467,0
139,0
449,0
225,0
198,0
604,1
260,1
444,0
649,1
69,0
691,1
210,0
643,1
293,0
118,0
196,0
588,1
248,0
539,0
102,0
426,0
877,0
859,0
187,0
688,1
314,0
448,0
200,0
0,0
49,0
598,0
281,0
432,0
370,0
887,1
216,0
546,1
750,0
383,0
264,0
637,0
701,1
587,1
321,0
288,0
6,0
878,1
514,1
840,1
831,1
354,0
632,1
466,0
151,1
182,1
178,1
270,0
364,0
563,1
430,0
337,0
646,1
135,1
154,0
43,0
689,1
606,1
811,1
483,0
346,1
641,0
176,1
427,0
537,0
625,0
555,0
85,0
828,1
814,1
654,1
731,0
499,1
2,0
638,0
855,1
67,0
833,1
143,0
309,0
240,0
15,0
868,1
815,1
79,0
518,0
726,0
786,0
222,0
745,0
792,1
769,0
349,1
486,1
345,0
825,1
704,1
664,1
645,1
404,0
134,0
163,0
516,0
376,0
683,1
450,0
644,1
747,0
764,1
395,0
869,1
733,0
410,0
812,1
46,0
787,0
300,0
95,0
406,0
717,0
597,1
436,0
800,1
169,1
312,0
429,0
784,1
33,0
331,0
188,1
42,0
352,1
422,0
465,0
221,0
888,0
12,0
63,0
520,0
718,0
541,0
614,1
351,1
791,1
78,0
263,1
596,0
416,0
695,1
36,0
339,0
381,0
697,1
725,0
768,0
633,1
285,0
120,0
145,1
575,1
865,1
51,0
97,0
493,1
194,1
870,1
674,1
394,0
819,1
28,0
621,0
734,0
237,0
252,0
707,0
50,0
880,1
751,1
615,0
507,1
852,1
421,0
547,1
283,0
793,1
437,1
749,0
158,0
313,0
144,0
131,0
284,0
356,0
504,1
715,0
56,0
584,1
366,0
736,1
76,0
678,1
80,0
414,0
785,0
